Temperature:  26, Humidity Level:  49, Soil Moisture:  48, CO2 Level:  45, Light Intensity:  57, Pressure: 101, pH level:  59, Pest Level:  15, Leaf health(direct):  89, Leaf health(refined):  96, Fan Status: 0, Irrigation: 0, Humidity Control: 0, Alert: 0
Temperature: 131, Humidity Level: 200, Soil Moisture:  94, CO2 Level:  58, Light Intensity: 254, Pressure: 101, pH level: 210, Pest Level:  28, Leaf health(direct): 100, Leaf health(refined):  69, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 132, Humidity Level: 199, Soil Moisture:  92, CO2 Level:  63, Light Intensity: 251, Pressure: 101, pH level: 209, Pest Level:  33, Leaf health(direct): 100, Leaf health(refined):  85, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 133, Humidity Level: 198, Soil Moisture:  90, CO2 Level:  68, Light Intensity: 248, Pressure: 101, pH level: 208, Pest Level:  38, Leaf health(direct): 100, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 134, Humidity Level: 197, Soil Moisture:  88, CO2 Level:  73, Light Intensity: 245, Pressure: 101, pH level: 207, Pest Level:  43, Leaf health(direct):  65, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 135, Humidity Level: 196, Soil Moisture:  86, CO2 Level:  78, Light Intensity: 242, Pressure: 101, pH level: 206, Pest Level:  48, Leaf health(direct): 100, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 136, Humidity Level: 195, Soil Moisture:  84, CO2 Level:  83, Light Intensity: 239, Pressure: 101, pH level: 205, Pest Level:  53, Leaf health(direct):  96, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 137, Humidity Level: 194, Soil Moisture:  82, CO2 Level:  88, Light Intensity: 236, Pressure: 101, pH level: 204, Pest Level:  58, Leaf health(direct): 100, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 138, Humidity Level: 193, Soil Moisture:  80, CO2 Level:  93, Light Intensity: 233, Pressure: 101, pH level: 203, Pest Level:  63, Leaf health(direct): 100, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 139, Humidity Level: 192, Soil Moisture:  78, CO2 Level:  98, Light Intensity: 230, Pressure: 101, pH level: 202, Pest Level:  68, Leaf health(direct): 100, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 140, Humidity Level: 191, Soil Moisture:  76, CO2 Level: 103, Light Intensity: 227, Pressure: 101, pH level: 201, Pest Level:  73, Leaf health(direct): 100, Leaf health(refined):  90, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 141, Humidity Level: 190, Soil Moisture:  74, CO2 Level: 108, Light Intensity: 224, Pressure: 101, pH level: 200, Pest Level:  78, Leaf health(direct):   3, Leaf health(refined):  94, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 142, Humidity Level: 189, Soil Moisture:  72, CO2 Level: 113, Light Intensity: 221, Pressure: 101, pH level: 199, Pest Level:  83, Leaf health(direct):  89, Leaf health(refined):  78, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 143, Humidity Level: 188, Soil Moisture:  70, CO2 Level: 118, Light Intensity: 218, Pressure: 101, pH level: 198, Pest Level:  88, Leaf health(direct): 100, Leaf health(refined):  91, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 144, Humidity Level: 187, Soil Moisture:  68, CO2 Level: 123, Light Intensity: 215, Pressure: 101, pH level: 197, Pest Level:  93, Leaf health(direct): 100, Leaf health(refined):  95, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 145, Humidity Level: 186, Soil Moisture:  66, CO2 Level: 128, Light Intensity: 212, Pressure: 101, pH level: 196, Pest Level:  98, Leaf health(direct):   6, Leaf health(refined):  92, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 146, Humidity Level: 185, Soil Moisture:  64, CO2 Level: 133, Light Intensity: 209, Pressure: 101, pH level: 195, Pest Level: 103, Leaf health(direct):  95, Leaf health(refined):  76, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 147, Humidity Level: 184, Soil Moisture:  62, CO2 Level: 138, Light Intensity: 206, Pressure: 101, pH level: 194, Pest Level: 108, Leaf health(direct): 100, Leaf health(refined):  94, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 148, Humidity Level: 183, Soil Moisture:  60, CO2 Level: 143, Light Intensity: 203, Pressure: 101, pH level: 193, Pest Level: 113, Leaf health(direct): 100, Leaf health(refined):  91, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 149, Humidity Level: 182, Soil Moisture:  58, CO2 Level: 148, Light Intensity: 200, Pressure: 101, pH level: 192, Pest Level: 118, Leaf health(direct): 100, Leaf health(refined):  95, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 150, Humidity Level: 181, Soil Moisture:  56, CO2 Level: 153, Light Intensity: 197, Pressure: 101, pH level: 191, Pest Level: 123, Leaf health(direct): 100, Leaf health(refined):  92, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 151, Humidity Level: 180, Soil Moisture:  54, CO2 Level: 158, Light Intensity: 194, Pressure: 101, pH level: 190, Pest Level: 128, Leaf health(direct): 100, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 152, Humidity Level: 179, Soil Moisture:  52, CO2 Level: 163, Light Intensity: 191, Pressure: 101, pH level: 189, Pest Level: 133, Leaf health(direct):  52, Leaf health(refined):  93, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 153, Humidity Level: 178, Soil Moisture:  50, CO2 Level: 168, Light Intensity: 188, Pressure: 101, pH level: 188, Pest Level: 138, Leaf health(direct):  39, Leaf health(refined):  90, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 154, Humidity Level: 177, Soil Moisture:  48, CO2 Level: 173, Light Intensity: 185, Pressure: 101, pH level: 187, Pest Level: 143, Leaf health(direct): 100, Leaf health(refined):  94, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 155, Humidity Level: 176, Soil Moisture:  46, CO2 Level: 178, Light Intensity: 182, Pressure: 101, pH level: 186, Pest Level: 148, Leaf health(direct):  18, Leaf health(refined):  91, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 156, Humidity Level: 175, Soil Moisture:  44, CO2 Level: 183, Light Intensity: 179, Pressure: 101, pH level: 185, Pest Level: 153, Leaf health(direct):  74, Leaf health(refined):  75, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 157, Humidity Level: 174, Soil Moisture:  42, CO2 Level: 188, Light Intensity: 176, Pressure: 101, pH level: 184, Pest Level: 158, Leaf health(direct):  88, Leaf health(refined):  92, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 158, Humidity Level: 173, Soil Moisture:  40, CO2 Level: 193, Light Intensity: 173, Pressure: 101, pH level: 183, Pest Level: 163, Leaf health(direct):  15, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 159, Humidity Level: 172, Soil Moisture:  38, CO2 Level: 198, Light Intensity: 170, Pressure: 101, pH level: 182, Pest Level: 168, Leaf health(direct): 100, Leaf health(refined):  80, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 160, Humidity Level: 171, Soil Moisture:  36, CO2 Level: 203, Light Intensity: 167, Pressure: 101, pH level: 181, Pest Level: 173, Leaf health(direct): 100, Leaf health(refined):  95, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 161, Humidity Level: 170, Soil Moisture:  34, CO2 Level: 208, Light Intensity: 164, Pressure: 101, pH level: 180, Pest Level: 178, Leaf health(direct): 100, Leaf health(refined):  92, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 162, Humidity Level: 169, Soil Moisture:  32, CO2 Level: 213, Light Intensity: 161, Pressure: 101, pH level: 179, Pest Level: 183, Leaf health(direct):  90, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 163, Humidity Level: 168, Soil Moisture:  30, CO2 Level: 218, Light Intensity: 158, Pressure: 101, pH level: 178, Pest Level: 188, Leaf health(direct):  71, Leaf health(refined):  93, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 164, Humidity Level: 167, Soil Moisture:  28, CO2 Level: 223, Light Intensity: 155, Pressure: 101, pH level: 177, Pest Level: 193, Leaf health(direct): 100, Leaf health(refined):  90, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 165, Humidity Level: 166, Soil Moisture:  26, CO2 Level: 228, Light Intensity: 152, Pressure: 101, pH level: 176, Pest Level: 198, Leaf health(direct): 100, Leaf health(refined):  94, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 166, Humidity Level: 165, Soil Moisture:  24, CO2 Level: 233, Light Intensity: 149, Pressure: 101, pH level: 175, Pest Level: 203, Leaf health(direct):  94, Leaf health(refined):  91, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 167, Humidity Level: 164, Soil Moisture:  22, CO2 Level: 238, Light Intensity: 146, Pressure: 101, pH level: 174, Pest Level: 208, Leaf health(direct): 100, Leaf health(refined):  95, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 168, Humidity Level: 163, Soil Moisture:  20, CO2 Level: 243, Light Intensity: 143, Pressure: 101, pH level: 173, Pest Level: 213, Leaf health(direct):  45, Leaf health(refined):  92, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 169, Humidity Level: 162, Soil Moisture:  18, CO2 Level: 248, Light Intensity: 140, Pressure: 101, pH level: 172, Pest Level: 218, Leaf health(direct): 100, Leaf health(refined):  96, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 170, Humidity Level: 161, Soil Moisture:  16, CO2 Level: 253, Light Intensity: 137, Pressure: 101, pH level: 171, Pest Level: 223, Leaf health(direct):  32, Leaf health(refined):  93, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 171, Humidity Level: 160, Soil Moisture:  14, CO2 Level:   2, Light Intensity: 134, Pressure: 101, pH level: 170, Pest Level: 228, Leaf health(direct):  31, Leaf health(refined):  90, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 172, Humidity Level: 159, Soil Moisture:  12, CO2 Level:   7, Light Intensity: 131, Pressure: 101, pH level: 169, Pest Level: 233, Leaf health(direct): 100, Leaf health(refined):  94, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 173, Humidity Level: 158, Soil Moisture:  10, CO2 Level:  12, Light Intensity: 128, Pressure: 101, pH level: 168, Pest Level: 238, Leaf health(direct): 100, Leaf health(refined):  91, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 174, Humidity Level: 157, Soil Moisture:   8, CO2 Level:  17, Light Intensity: 125, Pressure: 101, pH level: 167, Pest Level: 243, Leaf health(direct):  58, Leaf health(refined):  95, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
Temperature: 175, Humidity Level: 156, Soil Moisture:   6, CO2 Level:  22, Light Intensity: 122, Pressure: 101, pH level: 166, Pest Level: 248, Leaf health(direct): 100, Leaf health(refined):  92, Fan Status: 1, Irrigation: 1, Humidity Control: 1, Alert: 1
